Rating Date,Team,Division,Absolute Ranking
15/01/2023 (v6.5),Arizona Coyotes,CEN,28.0
15/01/2023 (v6.5),Boston Bruins,ATL,1.0
15/01/2023 (v6.5),Buffalo Sabres,ATL,18.0
15/01/2023 (v6.5),Calgary Flames,CEN,11.0
15/01/2023 (v6.5),Carolina Hurricanes,MET,6.0
15/01/2023 (v6.5),Chicago Blackhawks,CEN,31.0
15/01/2023 (v6.5),Colorado Avalanche,CEN,21.0
15/01/2023 (v6.5),Columbus Blue Jackets,MET,29.0
15/01/2023 (v6.5),Dallas Stars,CEN,7.0
15/01/2023 (v6.5),Detroit Red Wings,ATL,24.0
15/01/2023 (v6.5),Edmonton Oilers,PAC,10.0
15/01/2023 (v6.5),Florida Panthers,ATL,20.0
15/01/2023 (v6.5),Los Angeles Kings,PAC,15.0
15/01/2023 (v6.5),Minnesota Wild,CEN,16.0
15/01/2023 (v6.5),Montréal Canadiens,ATL,30.0
15/01/2023 (v6.5),Nashville Predators,CEN,23.0
15/01/2023 (v6.5),New Jersey Devils,MET,2.0
15/01/2023 (v6.5),New York Islanders,MET,12.0
15/01/2023 (v6.5),New York Rangers,MET,9.0
15/01/2023 (v6.5),Ottawa Senators,ATL,22.0
15/01/2023 (v6.5),Philadelphia Flyers,MET,19.0
15/01/2023 (v6.5),Pittsburgh Penguins,MET,17.0
15/01/2023 (v6.5),San Jose Sharks,PAC,27.0
15/01/2023 (v6.5),Seattle Kraken,PAC,5.0
15/01/2023 (v6.5),St. Louis Blues,CEN,25.0
15/01/2023 (v6.5),Tampa Bay Lightning,ATL,8.0
15/01/2023 (v6.5),Toronto Maple Leafs,ATL,4.0
15/01/2023 (v6.5),Vancouver Canucks,PAC,26.0
15/01/2023 (v6.5),Vegas Golden Knights,PAC,14.0
15/01/2023 (v6.5),Washington Capitals,MET,13.0
15/01/2023 (v6.5),Winnipeg Jets,CEN,3.0
29/01/2023 (v6.5),Anaheim Ducks,PAC,32.0
29/01/2023 (v6.5),Arizona Coyotes,CEN,28.0
29/01/2023 (v6.5),Boston Bruins,ATL,1.0
29/01/2023 (v6.5),Buffalo Sabres,ATL,17.0
29/01/2023 (v6.5),Calgary Flames,CEN,10.0
