Rating Date,Team,Division,Offensive Rating
24/12/2022 (v6.5),St. Louis Blues,CEN,0.37299681345453417
24/12/2022 (v6.5),Tampa Bay Lightning,ATL,0.7650847349482957
24/12/2022 (v6.5),Toronto Maple Leafs,ATL,0.6278808738584191
24/12/2022 (v6.5),Vancouver Canucks,PAC,0.6436929901039564
24/12/2022 (v6.5),Vegas Golden Knights,PAC,0.7290116998913735
24/12/2022 (v6.5),Washington Capitals,MET,0.45818259108320153
24/12/2022 (v6.5),Winnipeg Jets,CEN,0.5284955921498655
27/12/2022 (v6.5),Anaheim Ducks,PAC,0.0854320233983247
27/12/2022 (v6.5),Arizona Coyotes,CEN,0.10500896551714525
27/12/2022 (v6.5),Boston Bruins,ATL,0.9447384352942996
27/12/2022 (v6.5),Buffalo Sabres,ATL,0.8693720087859717
27/12/2022 (v6.5),Calgary Flames,CEN,0.5577218807675166
27/12/2022 (v6.5),Carolina Hurricanes,MET,0.5092110399834849
27/12/2022 (v6.5),Chicago Blackhawks,CEN,0.11522054869092734
27/12/2022 (v6.5),Colorado Avalanche,CEN,0.550910492460812
27/12/2022 (v6.5),Columbus Blue Jackets,MET,0.13509660629092696
27/12/2022 (v6.5),Dallas Stars,CEN,0.7970226685251871
27/12/2022 (v6.5),Detroit Red Wings,ATL,0.30012872514296696
27/12/2022 (v6.5),Edmonton Oilers,PAC,0.8429974191333969
27/12/2022 (v6.5),Florida Panthers,ATL,0.6337765619263223
27/12/2022 (v6.5),Los Angeles Kings,PAC,0.6191233466814062
27/12/2022 (v6.5),Minnesota Wild,CEN,0.5055225150063664
27/12/2022 (v6.5),Montréal Canadiens,ATL,0.0961648560083307
27/12/2022 (v6.5),Nashville Predators,CEN,0.14636061551314447
27/12/2022 (v6.5),New Jersey Devils,MET,0.7203263216809477
27/12/2022 (v6.5),New York Islanders,MET,0.46579847088123416
27/12/2022 (v6.5),New York Rangers,MET,0.6482196945904424
27/12/2022 (v6.5),Ottawa Senators,ATL,0.6125088290257662
27/12/2022 (v6.5),Philadelphia Flyers,MET,0.10501931710675766
27/12/2022 (v6.5),Pittsburgh Penguins,MET,0.7320985440650302
