Rating Date,Team,Division,Average Ranking
15/01/2023 (v6.5),Colorado Avalanche,CEN,13.857142857142858
15/01/2023 (v6.5),Columbus Blue Jackets,MET,28.142857142857142
15/01/2023 (v6.5),Dallas Stars,CEN,6.142857142857143
15/01/2023 (v6.5),Detroit Red Wings,ATL,20.714285714285715
15/01/2023 (v6.5),Edmonton Oilers,PAC,11.428571428571429
15/01/2023 (v6.5),Florida Panthers,ATL,17.0
15/01/2023 (v6.5),Los Angeles Kings,PAC,17.857142857142858
15/01/2023 (v6.5),Minnesota Wild,CEN,18.142857142857142
15/01/2023 (v6.5),Montréal Canadiens,ATL,25.714285714285715
15/01/2023 (v6.5),Nashville Predators,CEN,23.071428571428573
15/01/2023 (v6.5),New Jersey Devils,MET,7.0
15/01/2023 (v6.5),New York Islanders,MET,10.357142857142858
15/01/2023 (v6.5),New York Rangers,MET,10.714285714285714
15/01/2023 (v6.5),Ottawa Senators,ATL,20.5
15/01/2023 (v6.5),Philadelphia Flyers,MET,21.214285714285715
15/01/2023 (v6.5),Pittsburgh Penguins,MET,11.285714285714286
15/01/2023 (v6.5),San Jose Sharks,PAC,27.642857142857142
15/01/2023 (v6.5),Seattle Kraken,PAC,13.142857142857142
15/01/2023 (v6.5),St. Louis Blues,CEN,21.0
15/01/2023 (v6.5),Tampa Bay Lightning,ATL,9.285714285714286
15/01/2023 (v6.5),Toronto Maple Leafs,ATL,7.0
15/01/2023 (v6.5),Vancouver Canucks,PAC,24.428571428571427
15/01/2023 (v6.5),Vegas Golden Knights,PAC,11.0
15/01/2023 (v6.5),Washington Capitals,MET,14.214285714285714
15/01/2023 (v6.5),Winnipeg Jets,CEN,11.0
29/01/2023 (v6.5),Anaheim Ducks,PAC,31.066666666666666
29/01/2023 (v6.5),Arizona Coyotes,CEN,26.4
29/01/2023 (v6.5),Boston Bruins,ATL,3.0
29/01/2023 (v6.5),Buffalo Sabres,ATL,17.4
29/01/2023 (v6.5),Calgary Flames,CEN,11.8
29/01/2023 (v6.5),Carolina Hurricanes,MET,7.4
29/01/2023 (v6.5),Chicago Blackhawks,CEN,28.733333333333334
29/01/2023 (v6.5),Colorado Avalanche,CEN,13.733333333333333
29/01/2023 (v6.5),Columbus Blue Jackets,MET,28.333333333333332
29/01/2023 (v6.5),Dallas Stars,CEN,6.333333333333333
29/01/2023 (v6.5),Detroit Red Wings,ATL,20.933333333333334
29/01/2023 (v6.5),Edmonton Oilers,PAC,11.066666666666666
29/01/2023 (v6.5),Florida Panthers,ATL,17.2
29/01/2023 (v6.5),Los Angeles Kings,PAC,17.533333333333335
