Defensemen	Even Strength Utilization Base	Team
225 Anton Stralman	0.06024305555555556	Boston Bruins
226 Cam York	0.05788398692810457	Philadelphia Flyers
227 Ben Hutton	0.05655555555555555	Vegas Golden Knights
228 Robin Salo	0.0564297385620915	New York Islanders
229 Jacob Bernard-Docker	0.0531986531986532	Ottawa Senators
230 Jordie Benn	0.05167483660130719	Toronto Maple Leafs
231 Ian Mitchell	0.0482258064516129	Chicago Blackhawks
232 Jack Rathbone	0.044036458333333334	Vancouver Canucks
233 Connor Mackey	0.04270424836601307	Calgary Flames
234 Joel Hanley	0.042581699346405225	Dallas Stars
235 Logan Stanley	0.04254208754208754	Winnipeg Jets
236 Kevin Bahl	0.04235690235690236	New Jersey Devils
237 Brad Hunt	0.04081541218637993	Colorado Avalanche
238 Dylan Coghlan	0.040723905723905725	Carolina Hurricanes
239 Dennis Gilbert	0.039991830065359474	Calgary Flames
240 Cale Fleury	0.039670138888888894	Seattle Kraken
241 Kurtis MacDermid	0.03729390681003584	Colorado Avalanche
242 Kyle Capobianco	0.03278619528619529	Winnipeg Jets
243 Ben Harpur	0.03174603174603175	New York Rangers
244 Adam Boqvist	0.029479166666666667	Columbus Blue Jackets
245 Alexander Alexeyev	0.028150793650793652	Washington Capitals
246 Jake Muzzin	0.027312091503267976	Toronto Maple Leafs
247 Ville Heinola	0.026691919191919194	Winnipeg Jets
248 Nick DeSimone	0.020531045751633985	Calgary Flames
249 Tucker Poolman	0.019869791666666668	Vancouver Canucks
250 Mark Borowiecki	0.018879928315412187	Nashville Predators
251 Jordan Spence	0.012376543209876543	Los Angeles Kings
252 Lucas Johansen	0.012055555555555555	Washington Capitals
253 Isaak Phillips	0.008700716845878136	Chicago Blackhawks
