Defensemen	Penalty Kill Utilization Corrected	Team
237 Pierre-Olivier Joseph	0.09806577686376504	Pittsburgh Penguins
238 Nick Perbix	0.0973552648126244	Tampa Bay Lightning
239 Shea Theodore	0.09712442564518882	Vegas Golden Knights
240 Robin Salo	0.09638776401096691	New York Islanders
241 Scott Harrington	0.09584090259406873	San Jose Sharks
242 Maxime Lajoie	0.0957953942790714	Carolina Hurricanes
243 Gustav Lindstrom	0.09578250872499816	Detroit Red Wings
244 Jack Rathbone	0.09572707447154404	Vancouver Canucks
245 Dylan Coghlan	0.09571117063476958	Carolina Hurricanes
246 Kurtis MacDermid	0.09563580838676895	Colorado Avalanche
247 Kale Clague	0.09543898060371289	Buffalo Sabres
248 Kyle Capobianco	0.09541618945184445	Winnipeg Jets
249 Chris Wideman	0.095110061468041	Montréal Canadiens
250 Brad Hunt	0.09478907253327351	Colorado Avalanche
251 Adam Boqvist	0.09478907253327351	Columbus Blue Jackets
252 Cam York	0.09478907253327351	Philadelphia Flyers
253 Lucas Johansen	0.09478907253327351	Washington Capitals
