Defensemen	Plus_Minus Corrected	Team
220 Casey Fitzgerald	0.1438442679086449	Buffalo Sabres
221 Andrew Peeke	0.13865936711839705	Columbus Blue Jackets
222 Dmitry Kulikov	0.13738788928013926	Anaheim Ducks
223 Ian Mitchell	0.12716993399668902	Chicago Blackhawks
224 Mark Borowiecki	0.12520594252332376	Nashville Predators
225 Calvin de Haan	0.11687093582013094	Carolina Hurricanes
226 Erik Gudbranson	0.11146761614486524	Columbus Blue Jackets
227 Andreas Englund	0.10833149680796202	Colorado Avalanche
228 Ryan Murray	0.10764519127849194	Edmonton Oilers
229 Riley Stillman	0.10662290277099239	Vancouver Canucks
230 Moritz Seider	0.10229125437110927	Detroit Red Wings
231 Sean Walker	0.10163885332172062	Los Angeles Kings
232 Mario Ferraro	0.10163885332172062	San Jose Sharks
233 Lawrence Pilut	0.09780147316142337	Buffalo Sabres
234 Caleb Jones	0.08762248573950773	Chicago Blackhawks
235 Ben Chiarot	0.08537074577970252	Detroit Red Wings
236 Colton White	0.08317159649185832	Anaheim Ducks
237 Robert Hagg	0.08182340810321152	Detroit Red Wings
238 Kurtis MacDermid	0.06871274891521961	Colorado Avalanche
239 Seth Jones	0.06472118958844195	Chicago Blackhawks
240 Jacob MacDonald	0.06450588384470199	Colorado Avalanche
241 Evan Bouchard	0.06343932560257891	Edmonton Oilers
242 Connor Mackey	0.060946327611902	Calgary Flames
243 Nathan Beaulieu	0.055668461196328005	Anaheim Ducks
244 Calen Addison	0.05437198276354264	Minnesota Wild
245 Simon Benoit	0.050651339347320495	Anaheim Ducks
246 Jack Johnson	0.050139899444382324	Chicago Blackhawks
247 Gustav Lindstrom	0.04797968475859252	Detroit Red Wings
248 Dysin Mayo	0.04717259663421249	Arizona Coyotes
249 John Klingberg	0.04362350317159927	Anaheim Ducks
250 Jacob Bryson	0.02403656358539373	Buffalo Sabres
251 Torey Krug	0.007898704706760911	St. Louis Blues
