Rating Date,Team,Division,Scoring Rating
05/03/2021 (v5.0),New York Rangers,MET,0.599864873846438
05/03/2021 (v5.0),Ottawa Senators,ATL,0.17212075238347693
05/03/2021 (v5.0),Philadelphia Flyers,MET,0.13586045400680483
05/03/2021 (v5.0),Pittsburgh Penguins,MET,0.8286258257912014
05/03/2021 (v5.0),San Jose Sharks,PAC,0.20677876197707193
05/03/2021 (v5.0),Seattle Kraken,PAC,0.18226551054344442
05/03/2021 (v5.0),St. Louis Blues,CEN,0.7580554090159606
05/03/2021 (v5.0),Tampa Bay Lightning,ATL,0.7618230204651759
05/03/2021 (v5.0),Toronto Maple Leafs,ATL,0.8372203685198185
05/03/2021 (v5.0),Vancouver Canucks,PAC,0.5151791418235997
05/03/2021 (v5.0),Vegas Golden Knights,PAC,0.6871534384794606
05/03/2021 (v5.0),Washington Capitals,MET,0.7467889892743331
05/03/2021 (v5.0),Winnipeg Jets,CEN,0.5064721970148398
