Rating Date,Team,Division,Strength of Schedule
26/2/2021 (v5.0),New York Islanders,MET,0.06665128664590476
26/2/2021 (v5.0),New York Rangers,MET,0.8647134279064996
26/2/2021 (v5.0),Ottawa Senators,ATL,0.13328845337585793
26/2/2021 (v5.0),Philadelphia Flyers,MET,0.037169345636929696
26/2/2021 (v5.0),Pittsburgh Penguins,MET,0.6732322114991002
26/2/2021 (v5.0),San Jose Sharks,PAC,0.22629918794019555
26/2/2021 (v5.0),Seattle Kraken,PAC,0.019207166884900716
26/2/2021 (v5.0),St. Louis Blues,CEN,0.7053750374620619
26/2/2021 (v5.0),Tampa Bay Lightning,ATL,0.9177479379214174
26/2/2021 (v5.0),Toronto Maple Leafs,ATL,0.8668022121531194
26/2/2021 (v5.0),Vancouver Canucks,PAC,0.30105880616513847
26/2/2021 (v5.0),Vegas Golden Knights,PAC,0.6384158084345323
26/2/2021 (v5.0),Washington Capitals,MET,0.4548259375643706
26/2/2021 (v5.0),Winnipeg Jets,CEN,0.1795770220182788
05/03/2021 (v5.0),Anaheim Ducks,PAC,0.24125452171970593
05/03/2021 (v5.0),Arizona Coyotes,CEN,0.020071212348718427
05/03/2021 (v5.0),Boston Bruins,ATL,0.7705808077894076
05/03/2021 (v5.0),Buffalo Sabres,ATL,0.01836147603852576
05/03/2021 (v5.0),Calgary Flames,CEN,0.7656617425567471
05/03/2021 (v5.0),Carolina Hurricanes,MET,0.9167710441301703
05/03/2021 (v5.0),Chicago Blackhawks,CEN,0.09036730537285105
05/03/2021 (v5.0),Colorado Avalanche,CEN,0.9199647800803072
05/03/2021 (v5.0),Columbus Blue Jackets,MET,0.48438298456927203
05/03/2021 (v5.0),Dallas Stars,CEN,0.7507323028301572
05/03/2021 (v5.0),Detroit Red Wings,ATL,0.21049457072748698
05/03/2021 (v5.0),Edmonton Oilers,PAC,0.4220684850961964
05/03/2021 (v5.0),Florida Panthers,ATL,0.9299079041958755
05/03/2021 (v5.0),Los Angeles Kings,PAC,0.6136591392597794
05/03/2021 (v5.0),Minnesota Wild,CEN,0.7261981488006146
05/03/2021 (v5.0),Montreal Canadiens,ATL,0.010555749339097956
05/03/2021 (v5.0),Nashville Predators,CEN,0.6364861962507308
05/03/2021 (v5.0),New Jersey Devils,MET,0.04441330600314354
05/03/2021 (v5.0),New York Islanders,MET,0.07635957682181584
05/03/2021 (v5.0),New York Rangers,MET,0.8630339526417787
05/03/2021 (v5.0),Ottawa Senators,ATL,0.09331284694799546
05/03/2021 (v5.0),Philadelphia Flyers,MET,0.037787058998520764
05/03/2021 (v5.0),Pittsburgh Penguins,MET,0.7170014657679797
05/03/2021 (v5.0),San Jose Sharks,PAC,0.1935552563414571
05/03/2021 (v5.0),Seattle Kraken,PAC,0.02058921545793127
05/03/2021 (v5.0),St. Louis Blues,CEN,0.6377894389039072
05/03/2021 (v5.0),Tampa Bay Lightning,ATL,0.9051428446821924
05/03/2021 (v5.0),Toronto Maple Leafs,ATL,0.8127405937400484
05/03/2021 (v5.0),Vancouver Canucks,PAC,0.37391025844549614
05/03/2021 (v5.0),Vegas Golden Knights,PAC,0.6733828750173313
05/03/2021 (v5.0),Washington Capitals,MET,0.5027475306782956
05/03/2021 (v5.0),Winnipeg Jets,CEN,0.17549914298490008
