Rating Date,Team,Division,Absolute Ranking
15/1/2022 (v4.1),Pittsburgh Penguins,MET,6
15/1/2022 (v4.1),San Jose Sharks,PAC,17
15/1/2022 (v4.1),Seattle Kraken,PAC,31
15/1/2022 (v4.1),St. Louis Blues,CEN,7
15/1/2022 (v4.1),Tampa Bay Lightning,ATL,8
15/1/2022 (v4.1),Toronto Maple Leafs,ATL,4
15/1/2022 (v4.1),Vancouver Canucks,PAC,19
15/1/2022 (v4.1),Vegas Golden Knights,PAC,11
15/1/2022 (v4.1),Washington Capitals,MET,14
15/1/2022 (v4.1),Winnipeg Jets,CEN,15
22/1/2022 (v4.5),Anaheim Ducks,PAC,20
22/1/2022 (v4.5),Arizona Coyotes,CEN,29
22/1/2022 (v4.5),Boston Bruins,ATL,5
22/1/2022 (v4.5),Buffalo Sabres,ATL,28
22/1/2022 (v4.5),Calgary Flames,CEN,16
22/1/2022 (v4.5),Carolina Hurricanes,MET,1
22/1/2022 (v4.5),Chicago Blackhawks,CEN,26
22/1/2022 (v4.5),Colorado Avalanche,CEN,3
22/1/2022 (v4.5),Columbus Blue Jackets,MET,23
22/1/2022 (v4.5),Dallas Stars,CEN,13
22/1/2022 (v4.5),Detroit Red Wings,ATL,25
22/1/2022 (v4.5),Edmonton Oilers,PAC,17
22/1/2022 (v4.5),Florida Panthers,ATL,2
22/1/2022 (v4.5),Los Angeles Kings,PAC,15
22/1/2022 (v4.5),Minnesota Wild,CEN,11
22/1/2022 (v4.5),Montreal Canadiens,ATL,32
22/1/2022 (v4.5),Nashville Predators,CEN,10
22/1/2022 (v4.5),New Jersey Devils,MET,24
22/1/2022 (v4.5),New York Islanders,MET,18
22/1/2022 (v4.5),New York Rangers,MET,7
22/1/2022 (v4.5),Ottawa Senators,ATL,27
22/1/2022 (v4.5),Philadelphia Flyers,MET,30
22/1/2022 (v4.5),Pittsburgh Penguins,MET,6
22/1/2022 (v4.5),San Jose Sharks,PAC,21
22/1/2022 (v4.5),Seattle Kraken,PAC,31
22/1/2022 (v4.5),St. Louis Blues,CEN,8
22/1/2022 (v4.5),Tampa Bay Lightning,ATL,9
22/1/2022 (v4.5),Toronto Maple Leafs,ATL,4
22/1/2022 (v4.5),Vancouver Canucks,PAC,22
22/1/2022 (v4.5),Vegas Golden Knights,PAC,12
22/1/2022 (v4.5),Washington Capitals,MET,14
