Rating Date,Team,Division,Average Ranking
15/1/2022 (v4.1),New York Rangers,MET,10.071
15/1/2022 (v4.1),Ottawa Senators,ATL,26.357
15/1/2022 (v4.1),Philadelphia Flyers,MET,18.857
15/1/2022 (v4.1),Pittsburgh Penguins,MET,14.071
15/1/2022 (v4.1),San Jose Sharks,PAC,17.071
15/1/2022 (v4.1),Seattle Kraken,PAC,27.857
15/1/2022 (v4.1),St. Louis Blues,CEN,7.786
15/1/2022 (v4.1),Tampa Bay Lightning,ATL,9.286
15/1/2022 (v4.1),Toronto Maple Leafs,ATL,5.857
15/1/2022 (v4.1),Vancouver Canucks,PAC,23.214
15/1/2022 (v4.1),Vegas Golden Knights,PAC,12.357
15/1/2022 (v4.1),Washington Capitals,MET,9.071
15/1/2022 (v4.1),Winnipeg Jets,CEN,15.714
22/1/2022 (v4.5),Anaheim Ducks,PAC,18.867
22/1/2022 (v4.5),Arizona Coyotes,CEN,31.267
22/1/2022 (v4.5),Boston Bruins,ATL,8.733
22/1/2022 (v4.5),Buffalo Sabres,ATL,26.800
22/1/2022 (v4.5),Calgary Flames,CEN,12.333
22/1/2022 (v4.5),Carolina Hurricanes,MET,1.333
22/1/2022 (v4.5),Chicago Blackhawks,CEN,28.600
22/1/2022 (v4.5),Colorado Avalanche,CEN,7.667
22/1/2022 (v4.5),Columbus Blue Jackets,MET,21.733
22/1/2022 (v4.5),Dallas Stars,CEN,19.000
22/1/2022 (v4.5),Detroit Red Wings,ATL,23.933
22/1/2022 (v4.5),Edmonton Oilers,PAC,9.933
22/1/2022 (v4.5),Florida Panthers,ATL,2.800
22/1/2022 (v4.5),Los Angeles Kings,PAC,19.000
22/1/2022 (v4.5),Minnesota Wild,CEN,9.667
22/1/2022 (v4.5),Montréal Canadiens,ATL,30.800
22/1/2022 (v4.5),Nashville Predators,CEN,14.067
22/1/2022 (v4.5),New Jersey Devils,MET,22.600
22/1/2022 (v4.5),New York Islanders,MET,20.467
22/1/2022 (v4.5),New York Rangers,MET,9.867
22/1/2022 (v4.5),Ottawa Senators,ATL,26.400
