Rating Date,Team,Division,Rating Score
11/12/2021 (v2.2),Toronto Maple Leafs,ATL,0.68
11/12/2021 (v2.2),Vancouver Canucks,PAC,0.37
11/12/2021 (v2.2),Vegas Golden Knights,PAC,0.59
11/12/2021 (v2.2),Washington Capitals,MET,0.56
11/12/2021 (v2.2),Winnipeg Jets,CEN,0.45
1/1/2022 (v2.3),Anaheim Ducks,PAC,0.509
1/1/2022 (v2.3),Arizona Coyotes,CEN,0.191
1/1/2022 (v2.3),Boston Bruins,ATL,0.583
1/1/2022 (v2.3),Buffalo Sabres,ATL,0.259
1/1/2022 (v2.3),Calgary Flames,CEN,0.570
1/1/2022 (v2.3),Carolina Hurricanes,MET,0.775
1/1/2022 (v2.3),Chicago Blackhawks,CEN,0.249
1/1/2022 (v2.3),Colorado Avalanche,CEN,0.627
1/1/2022 (v2.3),Columbus Blue Jackets,MET,0.369
1/1/2022 (v2.3),Dallas Stars,CEN,0.471
1/1/2022 (v2.3),Detroit Red Wings,ATL,0.374
1/1/2022 (v2.3),Edmonton Oilers,PAC,0.555
1/1/2022 (v2.3),Florida Panthers,ATL,0.666
1/1/2022 (v2.3),Los Angeles Kings,PAC,0.477
1/1/2022 (v2.3),Minnesota Wild,CEN,0.544
1/1/2022 (v2.3),Montreal Canadiens,ATL,0.188
1/1/2022 (v2.3),Nashville Predators,CEN,0.594
1/1/2022 (v2.3),New Jersey Devils,MET,0.359
1/1/2022 (v2.3),New York Islanders,MET,0.386
1/1/2022 (v2.3),New York Rangers,MET,0.589
1/1/2022 (v2.3),Ottawa Senators,ATL,0.274
1/1/2022 (v2.3),Philadelphia Flyers,MET,0.376
1/1/2022 (v2.3),Pittsburgh Penguins,MET,0.594
1/1/2022 (v2.3),San Jose Sharks,PAC,0.489
1/1/2022 (v2.3),Seattle Kraken,PAC,0.315
1/1/2022 (v2.3),St. Louis Blues,CEN,0.614
1/1/2022 (v2.3),Tampa Bay Lightning,ATL,0.583
1/1/2022 (v2.3),Toronto Maple Leafs,ATL,0.710
1/1/2022 (v2.3),Vancouver Canucks,PAC,0.422
1/1/2022 (v2.3),Vegas Golden Knights,PAC,0.610
1/1/2022 (v2.3),Washington Capitals,MET,0.605
1/1/2022 (v2.3),Winnipeg Jets,CEN,0.484
2/1/2022 (v3.0),Anaheim Ducks,PAC,0.529
2/1/2022 (v3.0),Arizona Coyotes,CEN,0.161
2/1/2022 (v3.0),Boston Bruins,ATL,0.596
2/1/2022 (v3.0),Buffalo Sabres,ATL,0.235
2/1/2022 (v3.0),Calgary Flames,CEN,0.585
2/1/2022 (v3.0),Carolina Hurricanes,MET,0.813
2/1/2022 (v3.0),Chicago Blackhawks,CEN,0.280
2/1/2022 (v3.0),Colorado Avalanche,CEN,0.689
2/1/2022 (v3.0),Columbus Blue Jackets,MET,0.329
2/1/2022 (v3.0),Dallas Stars,CEN,0.482
2/1/2022 (v3.0),Detroit Red Wings,ATL,0.391
2/1/2022 (v3.0),Edmonton Oilers,PAC,0.469
2/1/2022 (v3.0),Florida Panthers,ATL,0.686
2/1/2022 (v3.0),Los Angeles Kings,PAC,0.533
2/1/2022 (v3.0),Minnesota Wild,CEN,0.551
2/1/2022 (v3.0),Montreal Canadiens,ATL,0.154
2/1/2022 (v3.0),Nashville Predators,CEN,0.668
2/1/2022 (v3.0),New Jersey Devils,MET,0.318
2/1/2022 (v3.0),New York Islanders,MET,0.448
2/1/2022 (v3.0),New York Rangers,MET,0.589
2/1/2022 (v3.0),Ottawa Senators,ATL,0.332
2/1/2022 (v3.0),Philadelphia Flyers,MET,0.429
2/1/2022 (v3.0),Pittsburgh Penguins,MET,0.664
