Forward	Power Play Utilization Corrected	Team
323 Sam Carrick	0.1640306641626408	Anaheim Ducks
324 Mason Shaw	0.16347999676260475	Minnesota Wild
325 Nick Cousins	0.16329984408296255	Florida Panthers
326 Steven Lorentz	0.16276219497242966	San Jose Sharks
327 Anthony Cirelli	0.16224184929061897	Tampa Bay Lightning
328 Ben Meyers	0.16136122817706053	Colorado Avalanche
329 Lars Eller	0.15891982508149066	Washington Capitals
330 Christian Fischer	0.15793987113284774	Arizona Coyotes
331 Charles Hudon	0.1578562604995613	Colorado Avalanche
332 Dakota Joshua	0.1576692406133895	Vancouver Canucks
333 Trevor Lewis	0.15638368533108044	Calgary Flames
334 Sean Kuraly	0.1563607756798588	Columbus Blue Jackets
335 Derek Ryan	0.1557646885527994	Edmonton Oilers
336 Isac Lundestrom	0.15563232693076262	Anaheim Ducks
337 Aatu Raty	0.1554521756838601	New York Islanders
338 Yanni Gourde	0.15481884446581728	Seattle Kraken
339 Yegor Sharangovich	0.15450094546536028	New Jersey Devils
340 Craig Smith	0.15401725814923395	Boston Bruins
341 Warren Foegele	0.15376893842581515	Edmonton Oilers
342 Jean-Luc Foudy	0.15357724009438325	Colorado Avalanche
343 Tanner Laczynski	0.15343976670536255	Philadelphia Flyers
344 Jakob Pelletier	0.15334546166307902	Calgary Flames
345 Blake Coleman	0.15292398938762283	Calgary Flames
346 Connor Brown	0.15289430604663726	Washington Capitals
347 Jordan Staal	0.1519598897348349	Carolina Hurricanes
348 Jordan Martinook	0.15044739867998194	Carolina Hurricanes
349 Rudolfs Balcers	0.1501929794504481	Tampa Bay Lightning
350 Jack Studnicka	0.14963295206597885	Vancouver Canucks
351 Hudson Fasching	0.14949353110595048	New York Islanders
352 Brett Ritchie	0.1483502574160347	Calgary Flames
353 Casey Cizikas	0.14811179063383872	New York Islanders
354 Max Jones	0.14784840880929018	Anaheim Ducks
355 Vasily Podkolzin	0.144552915314887	Vancouver Canucks
356 Blake Lizotte	0.14401323673684974	Los Angeles Kings
357 Carl Grundstrom	0.14386100357177475	Los Angeles Kings
358 Brandon Tanev	0.1438556076913491	Seattle Kraken
359 Ryan Lomberg	0.14380447018326073	Florida Panthers
360 David Kampf	0.14380109850933587	Toronto Maple Leafs
361 Morgan Barron	0.14374501576487553	Winnipeg Jets
362 Connor Dewar	0.14342242357965387	Minnesota Wild
363 Michael McLeod	0.14329315174642177	New Jersey Devils
364 Brett Leason	0.14296651776506344	Anaheim Ducks
365 Jimmy Vesey	0.14284360265639837	New York Rangers
366 Carson Meyer	0.14257530424486917	Columbus Blue Jackets
367 Logan O'Connor	0.14231282829704564	Colorado Avalanche
368 Pat Maroon	0.14144617046523514	Tampa Bay Lightning
369 Alexey Toropchenko	0.14143710335495197	St. Louis Blues
370 Joey Anderson	0.14096402189955146	Toronto Maple Leafs
371 Simon Holmstrom	0.14081997271206076	New York Islanders
372 Klim Kostin	0.14063590316171007	Edmonton Oilers
373 Jake Evans	0.14062268597461344	Montréal Canadiens
374 Teddy Blueger	0.14048231751499826	Pittsburgh Penguins
375 Ryan Poehling	0.1402777549458226	Pittsburgh Penguins
376 Tyson Jost	0.14003689714062814	Buffalo Sabres
377 Cole Smith	0.13982493518379743	Nashville Predators
378 Colin Blackwell	0.1397869224415672	Chicago Blackhawks
379 Derek Stepan	0.13957441458941156	Carolina Hurricanes
380 Luke Glendening	0.1394973666401657	Dallas Stars
381 Nicolas Deslauriers	0.13909594342769063	Philadelphia Flyers
382 Mattias Janmark	0.13880212266534087	Edmonton Oilers
383 Brendan Lemieux	0.13871513862139148	Los Angeles Kings
384 Nathan Walker	0.1385326386926502	St. Louis Blues
385 Josh Archibald	0.1383973496748253	Pittsburgh Penguins
386 Joel Kiviranta	0.1383424735017776	Dallas Stars
387 Karson Kuhlman	0.13822814551398144	Winnipeg Jets
388 Mark Jankowski	0.13820310019803841	Nashville Predators
389 Curtis Lazar	0.13818943184744498	Vancouver Canucks
390 Jack McBain	0.13809033069328752	Arizona Coyotes
391 David Gustafsson	0.13801121267240962	Winnipeg Jets
392 Jesper Boqvist	0.13788791303959047	New Jersey Devils
393 Zach Aston-Reese	0.13779456584449096	Toronto Maple Leafs
394 Tyler Pitlick	0.1375553664681773	St. Louis Blues
395 Axel Jonsson-Fjallby	0.13752415920203762	Winnipeg Jets
396 Saku Maenalanen	0.13741612149538257	Winnipeg Jets
397 Yakov Trenin	0.137315073929568	Nashville Predators
398 Ty Dellandrea	0.137309942091557	Dallas Stars
399 Matt Martin	0.13719989327216747	New York Islanders
400 Bobby McMann	0.1366618542147717	Toronto Maple Leafs
401 A.J. Greer	0.13662858284664917	Boston Bruins
402 Boris Katchouk	0.13640594575655193	Chicago Blackhawks
403 Reese Johnson	0.13640594575655193	Chicago Blackhawks
404 Pius Suter	0.13609517698730295	Detroit Red Wings
405 Cal Clutterbuck	0.13579719412072006	New York Islanders
406 Tomas Nosek	0.13570992801634904	Boston Bruins
407 Brandon Duhaime	0.13561295610883126	Minnesota Wild
408 Patrick Brown	0.13555341512179972	Philadelphia Flyers
409 Jonah Gadjovich	0.1354187558667311	San Jose Sharks
410 Zemgus Girgensons	0.13532614096647008	Buffalo Sabres
411 Noah Gregor	0.1351733525050393	San Jose Sharks
412 Adam Erne	0.1349496001220096	Detroit Red Wings
413 Parker Kelly	0.13466921440372048	Ottawa Senators
414 Ondrej Kase	0.13436377194479174	Carolina Hurricanes
415 Trent Frederic	0.13424082968418277	Boston Bruins
416 Liam O'Brien	0.13420948682848854	Arizona Coyotes
417 Chris Tierney	0.13408631997667	Florida Panthers
418 Rafael Harvey-Pinard	0.13404932607154815	Montréal Canadiens
419 Keegan Kolesar	0.1338943843668	Vegas Golden Knights
