Forward	Power Play Utilization Base	Team
216 Conor Garland	0.18886138613861386	Vancouver Canucks
217 Jonathan Drouin	0.18874570446735395	Montréal Canadiens
218 Juraj Slafkovsky	0.18831615120274914	Montréal Canadiens
219 Derick Brassard	0.17898230088495576	Ottawa Senators
220 Ilya Mikheyev	0.17673267326732675	Vancouver Canucks
221 Dillon Dube	0.1755663430420712	Calgary Flames
222 Nick Foligno	0.17417417417417416	Boston Bruins
223 Valeri Nichushkin	0.1729166666666667	Colorado Avalanche
224 Alexis Lafrenière	0.1717687074829932	New York Rangers
225 Cody Glass	0.1702861952861953	Nashville Predators
226 Alexander Kerfoot	0.17004950495049506	Toronto Maple Leafs
227 Oliver Wahlstrom	0.1698148148148148	New York Islanders
228 Nick Schmaltz	0.1695692883895131	Arizona Coyotes
229 Kyle Okposo	0.16836283185840706	Buffalo Sabres
230 Evgenii Dadonov	0.16460481099656357	Montréal Canadiens
231 Marcus Foligno	0.1642361111111111	Minnesota Wild
232 Evander Kane	0.1640432098765432	Edmonton Oilers
233 JJ Peterka	0.1637905604719764	Buffalo Sabres
234 Kaapo Kakko	0.16258503401360544	New York Rangers
235 Denis Gurianov	0.16240942028985508	Dallas Stars
236 Danton Heinen	0.1622937293729373	Pittsburgh Penguins
237 Anthony Beauvillier	0.16212962962962962	New York Islanders
238 Anthony Mantha	0.15694444444444444	Washington Capitals
239 Juuso Parssinen	0.15361952861952863	Nashville Predators
240 James van Riemsdyk	0.15340501792114697	Philadelphia Flyers
241 Zack MacEwen	0.15224014336917563	Philadelphia Flyers
242 Tanner Jeannot	0.14856902356902357	Nashville Predators
243 Jesse Puljujarvi	0.14467592592592593	Edmonton Oilers
244 Sonny Milano	0.14251543209876544	Washington Capitals
245 Eeli Tolvanen	0.14220430107526882	Seattle Kraken
246 Nicholas Paul	0.1411214953271028	Tampa Bay Lightning
247 Ryan Donato	0.1346774193548387	Seattle Kraken
248 Filip Chytil	0.12831632653061223	New York Rangers
249 Calle Jarnkrok	0.12417491749174916	Toronto Maple Leafs
250 Denis Malgin	0.12293729372937293	Toronto Maple Leafs
251 Charlie Coyle	0.1228978978978979	Boston Bruins
252 Cole Sillinger	0.12278481012658227	Columbus Blue Jackets
253 Colin White	0.12260869565217392	Florida Panthers
254 Josh Leivo	0.12046413502109705	St. Louis Blues
255 Fabian Zetterlund	0.11956521739130435	New Jersey Devils
256 Jujhar Khaira	0.11646825396825397	Chicago Blackhawks
257 Eetu Luostarinen	0.11536231884057972	Florida Panthers
258 Elmer Soderblom	0.11346153846153847	Detroit Red Wings
259 Colton Sissons	0.11077441077441078	Nashville Predators
260 Peyton Krebs	0.10973451327433628	Buffalo Sabres
261 Tyler Bertuzzi	0.10697115384615384	Detroit Red Wings
262 Sheldon Dries	0.1047029702970297	Vancouver Canucks
263 Tanner Pearson	0.10338283828382838	Vancouver Canucks
264 Joel Armia	0.10042955326460482	Montréal Canadiens
265 Pierre Engvall	0.09958745874587459	Toronto Maple Leafs
266 Jason Dickinson	0.09831349206349206	Chicago Blackhawks
267 Nico Sturm	0.09812499999999999	San Jose Sharks
268 Tyler Johnson	0.09603174603174602	Chicago Blackhawks
269 Alexander Holtz	0.09139492753623188	New Jersey Devils
270 Jesper Fast	0.09054982817869416	Carolina Hurricanes
271 Nicholas Robertson	0.08778877887788779	Toronto Maple Leafs
272 Oskar Lindblom	0.08499999999999999	San Jose Sharks
273 Max Comtois	0.08313953488372093	Anaheim Ducks
274 Dylan Holloway	0.08070987654320988	Edmonton Oilers
275 Sam Steel	0.07916666666666666	Minnesota Wild
276 Ryan McLeod	0.07901234567901234	Edmonton Oilers
277 Jordan Greenway	0.075	Minnesota Wild
278 Filip Zadina	0.07315705128205129	Detroit Red Wings
279 Wade Allison	0.07195340501792115	Philadelphia Flyers
280 Kirill Marchenko	0.0709915611814346	Columbus Blue Jackets
281 Justin Danforth	0.07078059071729959	Columbus Blue Jackets
282 Mathieu Joseph	0.07042772861356932	Ottawa Senators
283 Ondrej Palat	0.06793478260869565	New Jersey Devils
284 Martin Kaut	0.06067708333333333	Colorado Avalanche
285 Lukas Sedlak	0.05797491039426523	Philadelphia Flyers
286 Matt Nieto	0.05739583333333333	San Jose Sharks
287 Josh Norris	0.056637168141592927	Ottawa Senators
288 Kasperi Kapanen	0.05536303630363036	Pittsburgh Penguins
289 Barclay Goodrow	0.055357142857142855	New York Rangers
290 Sammy Blais	0.050850340136054425	New York Rangers
291 Nikolaj Ehlers	0.04518518518518518	Winnipeg Jets
292 Mason Shaw	0.04487847222222222	Minnesota Wild
293 Ryan Hartman	0.04253472222222222	Minnesota Wild
294 Paul Cotter	0.041947565543071164	Vegas Golden Knights
295 Sam Carrick	0.04050387596899225	Anaheim Ducks
296 Milan Lucic	0.03956310679611651	Calgary Flames
297 Mark Kastelic	0.03930678466076696	Ottawa Senators
298 Steven Lorentz	0.03927083333333333	San Jose Sharks
299 Tyler Motte	0.03724188790560472	Ottawa Senators
300 Christian Fischer	0.03661048689138577	Arizona Coyotes
301 Tanner Laczynski	0.035842293906810034	Philadelphia Flyers
302 Jean-Luc Foudy	0.035590277777777776	Colorado Avalanche
303 Austin Czarnik	0.035256410256410256	Detroit Red Wings
304 Lars Eller	0.0341820987654321	Washington Capitals
305 Isac Lundestrom	0.03362403100775194	Anaheim Ducks
306 Alex Iafallo	0.033547008547008546	Los Angeles Kings
307 Charles Hudon	0.03289930555555556	Colorado Avalanche
308 Nick Cousins	0.03181159420289855	Florida Panthers
309 Noel Acciari	0.03164556962025317	St. Louis Blues
310 Evgeny Svechnikov	0.03072916666666667	San Jose Sharks
311 Connor Brown	0.030169753086419754	Washington Capitals
312 Nils Hoglander	0.03003300330033003	Vancouver Canucks
313 Kailer Yamamoto	0.03001543209876543	Edmonton Oilers
314 Rudolfs Balcers	0.02850467289719626	Tampa Bay Lightning
315 Eric Staal	0.028405797101449276	Florida Panthers
316 Matthew Phillips	0.027588996763754047	Calgary Flames
317 Michael Rasmussen	0.02676282051282051	Detroit Red Wings
318 Dakota Joshua	0.025907590759075907	Vancouver Canucks
319 Jack Drury	0.025257731958762887	Carolina Hurricanes
320 Derek Ryan	0.025	Edmonton Oilers
321 Michael Amadio	0.023876404494382022	Vegas Golden Knights
322 Craig Smith	0.023123123123123125	Boston Bruins
323 Brett Ritchie	0.023058252427184466	Calgary Flames
324 Nick Bjugstad	0.022940074906367038	Arizona Coyotes
325 Vasily Podkolzin	0.022607260726072605	Vancouver Canucks
326 Yanni Gourde	0.022311827956989248	Seattle Kraken
327 Trevor Lewis	0.02192556634304207	Calgary Flames
328 Michael Eyssimont	0.021666666666666667	Winnipeg Jets
329 Vitali Kravtsov	0.02142857142857143	New York Rangers
330 Aliaksei Protas	0.020679012345679013	Washington Capitals
331 Jordan Martinook	0.020360824742268042	Carolina Hurricanes
332 Radim Zohorna	0.020145631067961165	Calgary Flames
333 Max Jones	0.019767441860465116	Anaheim Ducks
334 William Carrier	0.019756554307116106	Vegas Golden Knights
335 Casey Cizikas	0.01925925925925926	New York Islanders
336 Logan Brown	0.01909282700421941	St. Louis Blues
337 Jack Studnicka	0.018646864686468645	Vancouver Canucks
338 Jordan Staal	0.018470790378006873	Carolina Hurricanes
339 David Kampf	0.017821782178217824	Toronto Maple Leafs
