Forward	Even Strength Utilization Base	Team
191 Colton Sissons	0.2000358422939068	Nashville Predators
192 Jake DeBrusk	0.19924479166666667	Boston Bruins
193 Ty Dellandrea	0.19897875816993466	Dallas Stars
194 Yegor Sharangovich	0.19884680134680133	New Jersey Devils
195 Adam Lowry	0.1986952861952862	Winnipeg Jets
196 Noel Acciari	0.19792087542087541	St. Louis Blues
197 Jimmy Vesey	0.1979206349206349	New York Rangers
198 Mason McTavish	0.19669934640522876	Anaheim Ducks
199 William Carrier	0.19635714285714287	Vegas Golden Knights
200 Michael Rasmussen	0.19586805555555556	Detroit Red Wings
201 Jack Eichel	0.19501587301587303	Vegas Golden Knights
202 Nicolas Roy	0.19423015873015873	Vegas Golden Knights
203 Owen Tippett	0.19368464052287582	Philadelphia Flyers
204 David Krejci	0.19328125000000002	Boston Bruins
205 Victor Olofsson	0.19265625	Buffalo Sabres
206 Pius Suter	0.19186631944444443	Detroit Red Wings
207 Jared McCann	0.19141493055555556	Seattle Kraken
208 Miles Wood	0.19106902356902355	New Jersey Devils
209 Nick Bonino	0.1910238095238095	San Jose Sharks
210 Josh Bailey	0.19065359477124183	New York Islanders
211 Barrett Hayton	0.19045698924731183	Arizona Coyotes
212 Jamie Benn	0.19040032679738564	Dallas Stars
213 Sebastian Aho	0.18937710437710437	Carolina Hurricanes
214 Jack Roslovic	0.18907118055555555	Columbus Blue Jackets
215 Yegor Chinakhov	0.1884982638888889	Columbus Blue Jackets
216 Matt Nieto	0.18805555555555556	San Jose Sharks
217 Joe Veleno	0.18768229166666667	Detroit Red Wings
218 Zack MacEwen	0.18764705882352942	Philadelphia Flyers
219 Jake Evans	0.1875925925925926	Montréal Canadiens
220 Aleksander Barkov	0.18586601307189543	Florida Panthers
221 Andrew Cogliano	0.18552867383512545	Colorado Avalanche
222 Jason Dickinson	0.1853942652329749	Chicago Blackhawks
223 Radek Faksa	0.18499183006535946	Dallas Stars
224 Nils Aman	0.18497395833333333	Vancouver Canucks
225 Oliver Wahlstrom	0.18482843137254903	New York Islanders
226 Jeff Carter	0.18466329966329967	Pittsburgh Penguins
227 Casey Cizikas	0.18237745098039215	New York Islanders
228 Jack McBain	0.18198924731182795	Arizona Coyotes
229 Brandon Saad	0.18069865319865322	St. Louis Blues
230 Keegan Kolesar	0.1797857142857143	Vegas Golden Knights
231 Luke Kunin	0.17961904761904762	San Jose Sharks
232 Cole Sillinger	0.17901041666666667	Columbus Blue Jackets
233 Eric Robinson	0.17888888888888888	Columbus Blue Jackets
234 Trevor Lewis	0.17877450980392157	Calgary Flames
235 Michael McLeod	0.17769360269360268	New Jersey Devils
236 Kent Johnson	0.17769097222222224	Columbus Blue Jackets
237 Brock McGinn	0.17765151515151514	Pittsburgh Penguins
238 Pavel Buchnevich	0.1775	St. Louis Blues
239 Sean Kuraly	0.177265625	Columbus Blue Jackets
240 Aliaksei Protas	0.1771904761904762	Washington Capitals
241 Joel Kiviranta	0.1765686274509804	Dallas Stars
242 Pierre Engvall	0.17591503267973857	Toronto Maple Leafs
243 Fabian Zetterlund	0.17579124579124578	New Jersey Devils
244 Phil Kessel	0.17480952380952383	Vegas Golden Knights
245 Nick Foligno	0.17448784722222221	Boston Bruins
246 Nic Dowd	0.1742857142857143	Washington Capitals
247 Jakob Silfverberg	0.17390522875816994	Anaheim Ducks
248 Zemgus Girgensons	0.17284722222222224	Buffalo Sabres
249 Matt Martin	0.17245915032679737	New York Islanders
250 Evgenii Dadonov	0.17197811447811448	Montréal Canadiens
251 Blake Lizotte	0.17162037037037037	Los Angeles Kings
252 Evan Rodrigues	0.1714426523297491	Colorado Avalanche
253 Yakov Trenin	0.17120967741935483	Nashville Predators
254 Sam Gagner	0.17092592592592593	Winnipeg Jets
255 Tyler Motte	0.17082491582491582	Ottawa Senators
256 Corey Perry	0.17076388888888888	Tampa Bay Lightning
257 Garnet Hathaway	0.17063492063492064	Washington Capitals
258 Brock Boeser	0.17010416666666667	Vancouver Canucks
259 Marcus Foligno	0.1696127946127946	Minnesota Wild
260 Filip Chytil	0.16738095238095238	New York Rangers
261 Vladislav Namestnikov	0.16705729166666666	Tampa Bay Lightning
262 Ross Colton	0.16647569444444443	Tampa Bay Lightning
263 MacKenzie Entwistle	0.1657974910394265	Chicago Blackhawks
264 Brad Marchand	0.16564236111111114	Boston Bruins
265 Sam Lafferty	0.1656272401433692	Chicago Blackhawks
266 Nick Cousins	0.16543300653594772	Florida Panthers
267 Ryan Lomberg	0.1652941176470588	Florida Panthers
268 Zach Aston-Reese	0.1640767973856209	Toronto Maple Leafs
269 Liam O'Brien	0.1632078853046595	Arizona Coyotes
270 Jujhar Khaira	0.16315412186379927	Chicago Blackhawks
271 Pat Maroon	0.16313368055555555	Tampa Bay Lightning
272 Tomas Nosek	0.16294270833333335	Boston Bruins
273 Steven Lorentz	0.1625079365079365	San Jose Sharks
274 Colin White	0.16233660130718955	Florida Panthers
275 Luke Glendening	0.16205882352941178	Dallas Stars
276 Trent Frederic	0.16166666666666665	Boston Bruins
277 Carl Grundstrom	0.16136574074074075	Los Angeles Kings
278 Patrik Laine	0.1612934027777778	Columbus Blue Jackets
279 Paul Stastny	0.16107744107744107	Carolina Hurricanes
280 Jack Quinn	0.16104166666666667	Buffalo Sabres
281 Cole Smith	0.15991039426523299	Nashville Predators
282 Nico Sturm	0.15966666666666668	San Jose Sharks
283 Milan Lucic	0.15926470588235292	Calgary Flames
284 Sean Monahan	0.15862794612794612	Montréal Canadiens
285 Kailer Yamamoto	0.15751633986928104	Edmonton Oilers
286 Max Jones	0.15695261437908498	Anaheim Ducks
287 Arthur Kaliyev	0.1568364197530864	Los Angeles Kings
288 Danton Heinen	0.15656565656565657	Pittsburgh Penguins
289 Stefan Noesen	0.1547895622895623	Carolina Hurricanes
290 Kyle Okposo	0.15426215277777777	Buffalo Sabres
291 Oskar Sundqvist	0.15345486111111112	Detroit Red Wings
292 Nicolas Deslauriers	0.15297385620915033	Philadelphia Flyers
293 Connor Dewar	0.15203703703703705	Minnesota Wild
294 Colin Blackwell	0.15200716845878137	Chicago Blackhawks
295 Nick Ritchie	0.1518100358422939	Arizona Coyotes
296 Brett Leason	0.1508578431372549	Anaheim Ducks
297 Tyson Jost	0.15052083333333333	Buffalo Sabres
298 Mathieu Olivier	0.14962673611111113	Columbus Blue Jackets
299 Dakota Joshua	0.1491059027777778	Vancouver Canucks
300 Oskar Lindblom	0.14903174603174602	San Jose Sharks
301 Ryan Donato	0.14878472222222222	Seattle Kraken
302 Juraj Slafkovsky	0.1482154882154882	Montréal Canadiens
303 Peyton Krebs	0.1481684027777778	Buffalo Sabres
304 Derek Ryan	0.1478186274509804	Edmonton Oilers
305 Josh Leivo	0.14609427609427608	St. Louis Blues
306 Anton Lundell	0.14605392156862745	Florida Panthers
307 Eric Staal	0.1457516339869281	Florida Panthers
308 Morgan Barron	0.14361111111111113	Winnipeg Jets
309 Pierre-Edouard Bellemare	0.1430642361111111	Tampa Bay Lightning
310 Denis Gurianov	0.14295751633986928	Dallas Stars
311 Teuvo Teravainen	0.14282828282828283	Carolina Hurricanes
312 Mathieu Joseph	0.1427946127946128	Ottawa Senators
313 Kyle Palmieri	0.1413562091503268	New York Islanders
314 Mason Shaw	0.14132996632996633	Minnesota Wild
315 Derick Brassard	0.14116161616161615	Ottawa Senators
316 Axel Jonsson-Fjallby	0.14033670033670034	Winnipeg Jets
317 Max Comtois	0.13957516339869283	Anaheim Ducks
