Forward	Plus_Minus Base	Team
201 Dillon Dube	14.166666666666666	Calgary Flames
202 Nick Cousins	13.95	Florida Panthers
203 Anthony Beauvillier	13.933333333333334	New York Islanders
204 Jordan Greenway	13.9	Minnesota Wild
205 Connor Brown	13.766666666666666	Washington Capitals
206 Ryan McLeod	13.75	Edmonton Oilers
207 Trevor Moore	13.75	Los Angeles Kings
208 Stefan Noesen	13.733333333333333	Carolina Hurricanes
209 Blake Coleman	13.666666666666666	Calgary Flames
210 Nico Sturm	13.666666666666666	San Jose Sharks
211 Jack McBain	13.633333333333333	Arizona Coyotes
212 Lucas Raymond	13.616666666666667	Detroit Red Wings
213 Brandon Saad	13.55	St. Louis Blues
214 Alex Ovechkin	13.5	Washington Capitals
215 Zemgus Girgensons	13.466666666666667	Buffalo Sabres
216 Brandon Duhaime	13.466666666666667	Minnesota Wild
217 Sam Steel	13.433333333333334	Minnesota Wild
218 Oliver Bjorkstrand	13.35	Seattle Kraken
219 Wyatt Johnston	13.333333333333334	Dallas Stars
220 Artemi Panarin	13.3	New York Rangers
221 Conor Sheary	13.3	Washington Capitals
222 Hudson Fasching	13.216666666666667	New York Islanders
223 Casey Cizikas	13.2	New York Islanders
224 Liam O'Brien	13.183333333333334	Arizona Coyotes
225 Connor Dewar	13.183333333333334	Minnesota Wild
226 Kirill Marchenko	13.15	Columbus Blue Jackets
227 Lars Eller	13.116666666666667	Washington Capitals
228 Evgeny Svechnikov	13.066666666666666	San Jose Sharks
229 Kirill Kaprizov	12.933333333333334	Minnesota Wild
230 Cole Caufield	12.933333333333334	Montréal Canadiens
231 Pontus Holmberg	12.933333333333334	Toronto Maple Leafs
232 Timo Meier	12.916666666666668	San Jose Sharks
233 Rasmus Asplund	12.916666666666666	Buffalo Sabres
234 Sammy Blais	12.916666666666666	New York Rangers
235 Charles Hudon	12.9	Colorado Avalanche
236 Nicholas Robertson	12.883333333333333	Toronto Maple Leafs
237 Tyler Johnson	12.833333333333334	Chicago Blackhawks
238 Nick Bonino	12.733333333333333	San Jose Sharks
239 Karson Kuhlman	12.7	Winnipeg Jets
240 Cole Smith	12.616666666666667	Nashville Predators
241 Yegor Sharangovich	12.616666666666667	New Jersey Devils
242 Anthony Mantha	12.583333333333334	Washington Capitals
243 Kaapo Kakko	12.55	New York Rangers
244 Denis Malgin	12.433333333333334	Toronto Maple Leafs
245 Austin Czarnik	12.4	Detroit Red Wings
246 Sean Monahan	12.366666666666667	Montréal Canadiens
247 Matt Duchene	12.333333333333332	Nashville Predators
248 Alex Wennberg	12.333333333333332	Seattle Kraken
249 Robert Thomas	12.266666666666666	St. Louis Blues
250 Marcus Johansson	12.133333333333333	Washington Capitals
251 Jean-Gabriel Pageau	12.116666666666667	New York Islanders
252 David Gustafsson	12.066666666666666	Winnipeg Jets
253 Zac Dalpe	12.05	Florida Panthers
254 Clayton Keller	11.95	Arizona Coyotes
255 Marcus Foligno	11.95	Minnesota Wild
256 Zack MacEwen	11.933333333333334	Philadelphia Flyers
257 Klim Kostin	11.9	Edmonton Oilers
258 Morgan Frost	11.866666666666667	Philadelphia Flyers
259 Danton Heinen	11.833333333333334	Pittsburgh Penguins
260 Teddy Blueger	11.8	Pittsburgh Penguins
261 Devin Shore	11.766666666666667	Edmonton Oilers
262 Shane Pinto	11.716666666666667	Ottawa Senators
263 Kevin Stenlund	11.716666666666667	Winnipeg Jets
264 Andrew Mangiapane	11.649999999999999	Calgary Flames
265 Paul Cotter	11.616666666666667	Vegas Golden Knights
266 Patrick Brown	11.6	Philadelphia Flyers
267 Vinnie Hinostroza	11.566666666666666	Buffalo Sabres
268 Kevin Labanc	11.566666666666666	San Jose Sharks
269 Josh Anderson	11.45	Montréal Canadiens
270 Bryan Rust	11.45	Pittsburgh Penguins
271 Dominik Kubalik	11.366666666666667	Detroit Red Wings
272 Brendan Gallagher	11.35	Montréal Canadiens
273 Brett Ritchie	11.3	Calgary Flames
274 Noah Gregor	11.266666666666667	San Jose Sharks
275 A.J. Greer	11.233333333333333	Boston Bruins
276 Curtis Lazar	11.233333333333333	Vancouver Canucks
277 Tanner Laczynski	11.2	Philadelphia Flyers
278 Jack Roslovic	11.133333333333333	Columbus Blue Jackets
279 Aliaksei Protas	11.133333333333333	Washington Capitals
280 T.J. Oshie	11.100000000000001	Washington Capitals
281 Trevor Lewis	11.1	Calgary Flames
282 Jack Drury	11.1	Carolina Hurricanes
283 Joey Anderson	11.1	Toronto Maple Leafs
284 Filip Forsberg	11.083333333333332	Nashville Predators
285 Rourke Chartier	11.066666666666666	Ottawa Senators
286 Ondrej Kase	11.033333333333333	Carolina Hurricanes
287 Calle Jarnkrok	11.016666666666667	Toronto Maple Leafs
288 Ben Meyers	10.95	Colorado Avalanche
289 Filip Zadina	10.95	Detroit Red Wings
290 Joe Snively	10.933333333333334	Washington Capitals
291 Craig Smith	10.9	Boston Bruins
292 J.T. Miller	10.899999999999999	Vancouver Canucks
293 Rasmus Kupari	10.866666666666667	Los Angeles Kings
294 Jacob Lucchini	10.816666666666666	Ottawa Senators
295 Eeli Tolvanen	10.816666666666666	Seattle Kraken
296 Tim Stützle	10.8	Ottawa Senators
297 Alex Newhook	10.783333333333333	Colorado Avalanche
298 Juraj Slafkovsky	10.75	Montréal Canadiens
299 Cody Glass	10.733333333333333	Nashville Predators
300 Jujhar Khaira	10.65	Chicago Blackhawks
301 Zach Aston-Reese	10.65	Toronto Maple Leafs
302 Matt Martin	10.633333333333333	New York Islanders
303 Vasily Podkolzin	10.566666666666666	Vancouver Canucks
304 Paul Stastny	10.483333333333333	Carolina Hurricanes
305 Mats Zuccarello	10.433333333333334	Minnesota Wild
306 Nazem Kadri	10.399999999999999	Calgary Flames
307 Justin Danforth	10.383333333333333	Columbus Blue Jackets
308 Luke Glendening	10.383333333333333	Dallas Stars
309 Warren Foegele	10.216666666666667	Edmonton Oilers
310 Kasperi Kapanen	10.133333333333333	Pittsburgh Penguins
311 Ryan Johansen	10.116666666666667	Nashville Predators
312 Dylan Gambrell	10.1	Ottawa Senators
313 Nicolas Aube-Kubel	10.1	Washington Capitals
314 Peyton Krebs	10.066666666666666	Buffalo Sabres
315 Sam Gagner	10.033333333333333	Winnipeg Jets
316 Pius Suter	9.95	Detroit Red Wings
317 Jonny Brodzinski	9.883333333333333	New York Rangers
318 Aleksi Heponiemi	9.866666666666667	Florida Panthers
319 Julien Gauthier	9.866666666666667	New York Rangers
320 Trevor Zegras	9.850000000000001	Anaheim Ducks
321 Derek Ryan	9.816666666666666	Edmonton Oilers
322 Pierre-Edouard Bellemare	9.8	Tampa Bay Lightning
323 Johnny Gaudreau	9.766666666666666	Columbus Blue Jackets
324 Nino Niederreiter	9.75	Nashville Predators
325 Alexander Barabanov	9.616666666666667	San Jose Sharks
326 Viktor Arvidsson	9.566666666666666	Los Angeles Kings
327 Olle Lycksell	9.566666666666666	Philadelphia Flyers
328 Simon Holmstrom	9.533333333333333	New York Islanders
329 Samuel Walker	9.5	Minnesota Wild
330 Logan Couture	9.483333333333334	San Jose Sharks
331 Jack Studnicka	9.483333333333333	Vancouver Canucks
332 Gustav Nyquist	9.466666666666665	Columbus Blue Jackets
333 Jean-Luc Foudy	9.366666666666667	Colorado Avalanche
334 Dakota Joshua	9.366666666666667	Vancouver Canucks
335 Nicolas Deslauriers	9.35	Philadelphia Flyers
336 Jesper Boqvist	9.266666666666667	New Jersey Devils
337 Andreas Athanasiou	9.2	Chicago Blackhawks
338 Rudolfs Balcers	9.2	Tampa Bay Lightning
339 Tyson Jost	9.183333333333334	Buffalo Sabres
340 Arthur Kaliyev	9.166666666666666	Los Angeles Kings
341 Nils Aman	9.166666666666666	Vancouver Canucks
342 Juuso Parssinen	9.116666666666667	Nashville Predators
343 Dylan Strome	9.083333333333332	Washington Capitals
344 Matthew Phillips	9.033333333333333	Calgary Flames
345 Kent Johnson	9.016666666666667	Columbus Blue Jackets
346 Derek Stepan	8.95	Carolina Hurricanes
347 Jakub Voracek	8.95	Columbus Blue Jackets
348 Denis Gurianov	8.933333333333334	Dallas Stars
349 Jake Leschyshyn	8.933333333333334	Vegas Golden Knights
350 Barclay Goodrow	8.9	New York Rangers
351 Conor Garland	8.816666666666666	Vancouver Canucks
352 Elmer Soderblom	8.8	Detroit Red Wings
353 Chris Tierney	8.666666666666668	Florida Panthers
354 Sonny Milano	8.666666666666666	Washington Capitals
355 Eric Staal	8.65	Florida Panthers
356 Samuel Fagemo	8.65	Los Angeles Kings
357 Alexander Holtz	8.516666666666667	New Jersey Devils
358 Max Domi	8.466666666666665	Chicago Blackhawks
359 Brady Tkachuk	8.45	Ottawa Senators
360 Andre Burakovsky	8.45	Seattle Kraken
361 Joel Kiviranta	8.35	Dallas Stars
362 Tyler Pitlick	8.25	St. Louis Blues
363 Martin Kaut	8.216666666666667	Colorado Avalanche
364 Sam Lafferty	8.15	Chicago Blackhawks
365 Boone Jenner	8.133333333333333	Columbus Blue Jackets
366 Jaret Anderson-Dolan	8.133333333333333	Los Angeles Kings
367 Travis Konecny	8.133333333333333	Philadelphia Flyers
368 Nils Hoglander	8.066666666666666	Vancouver Canucks
369 Isac Lundestrom	8.033333333333333	Anaheim Ducks
370 Joel Armia	7.949999999999999	Montréal Canadiens
371 Nathan Walker	7.916666666666666	St. Louis Blues
372 Vladislav Namestnikov	7.916666666666666	Tampa Bay Lightning
373 Michael McCarron	7.833333333333334	Nashville Predators
374 Derek Grant	7.783333333333333	Anaheim Ducks
375 Ross Johnston	7.716666666666667	New York Islanders
376 Max Comtois	7.633333333333333	Anaheim Ducks
377 Eric Robinson	7.633333333333333	Columbus Blue Jackets
378 Yegor Chinakhov	7.633333333333333	Columbus Blue Jackets
379 William Bitten	7.633333333333333	St. Louis Blues
380 Wayne Simmonds	7.616666666666667	Toronto Maple Leafs
381 Jonathan Drouin	7.583333333333334	Montréal Canadiens
382 Drew O'Connor	7.5166666666666675	Pittsburgh Penguins
383 Alexey Toropchenko	7.5	St. Louis Blues
384 Jason Dickinson	7.4833333333333325	Chicago Blackhawks
385 Radim Zohorna	7.466666666666667	Calgary Flames
386 Brendan Lemieux	7.449999999999999	Los Angeles Kings
387 Mikael Granlund	7.416666666666668	Nashville Predators
388 Matt Luff	7.416666666666666	Detroit Red Wings
389 Matt Nieto	7.4	San Jose Sharks
390 Dylan Guenther	7.333333333333334	Arizona Coyotes
391 Boris Katchouk	7.300000000000001	Chicago Blackhawks
392 Rem Pitlick	7.2666666666666675	Montréal Canadiens
393 Logan Brown	7.2333333333333325	St. Louis Blues
394 Sampo Ranta	7.2	Colorado Avalanche
395 Victor Olofsson	7.183333333333334	Buffalo Sabres
396 Ryan Lomberg	7.15	Florida Panthers
397 James Hamblin	6.9833333333333325	Edmonton Oilers
398 Scott Laughton	6.866666666666667	Philadelphia Flyers
399 Axel Jonsson-Fjallby	6.866666666666667	Winnipeg Jets
400 Kevin Hayes	6.816666666666666	Philadelphia Flyers
401 Cole Sillinger	6.783333333333333	Columbus Blue Jackets
402 Ross Colton	6.783333333333333	Tampa Bay Lightning
403 MacKenzie Entwistle	6.75	Chicago Blackhawks
404 Frank Vatrano	6.666666666666668	Anaheim Ducks
405 Nick Ritchie	6.6	Arizona Coyotes
406 Carson Meyer	6.6	Columbus Blue Jackets
407 Jonah Gadjovich	6.550000000000001	San Jose Sharks
408 Corey Perry	6.433333333333334	Tampa Bay Lightning
409 Jake Evans	6.416666666666666	Montréal Canadiens
410 Luke Kunin	6.416666666666666	San Jose Sharks
411 Blake Lizotte	6.383333333333333	Los Angeles Kings
412 Mason McTavish	6.300000000000001	Anaheim Ducks
413 Ryan Reaves	6.283333333333333	Minnesota Wild
414 Michael Rasmussen	6.183333333333334	Detroit Red Wings
415 Evgenii Dadonov	5.9833333333333325	Montréal Canadiens
416 Taylor Raddysh	5.966666666666667	Chicago Blackhawks
417 Jaden Schwartz	5.966666666666665	Seattle Kraken
418 Max Willman	5.949999999999999	Philadelphia Flyers
419 Vladimir Tarasenko	5.850000000000001	St. Louis Blues
420 Andreas Johnsson	5.85	New Jersey Devils
421 Pat Maroon	5.800000000000001	Tampa Bay Lightning
422 Jonathan Toews	5.766666666666666	Chicago Blackhawks
423 Michael Amadio	5.716666666666667	Vegas Golden Knights
424 Carl Grundstrom	5.65	Los Angeles Kings
425 Patric Hornqvist	5.2666666666666675	Florida Panthers
426 Steven Lorentz	5.2666666666666675	San Jose Sharks
427 Colin Blackwell	5.166666666666666	Chicago Blackhawks
428 Parker Kelly	4.966666666666667	Ottawa Senators
