Forward	Points Corrected	Team
404 Reese Johnson	0.13737257770416683	Chicago Blackhawks
405 Tanner Jeannot	0.1319772349821707	Nashville Predators
406 Devin Shore	0.13168680832782942	Edmonton Oilers
407 Michael McCarron	0.1302393505975319	Nashville Predators
408 Mark Kastelic	0.12370146177708123	Ottawa Senators
409 Sam Carrick	0.11981676082052659	Anaheim Ducks
410 Mattias Janmark	0.11591790109667763	Edmonton Oilers
411 MacKenzie Entwistle	0.11432568352745136	Chicago Blackhawks
412 Ben Meyers	0.11207307376265775	Colorado Avalanche
413 Keegan Kolesar	0.11161789409788646	Vegas Golden Knights
414 Zach Aston-Reese	0.11095341293968194	Toronto Maple Leafs
415 Jack Drury	0.10880688716757014	Carolina Hurricanes
416 Jake Evans	0.10802905841279299	Montréal Canadiens
417 Michael Amadio	0.10666445714847211	Vegas Golden Knights
418 Brett Howden	0.10157328756448665	Vegas Golden Knights
419 Tyler Pitlick	0.1005279948461898	St. Louis Blues
420 David Gustafsson	0.09901573397807534	Winnipeg Jets
421 Joel Kiviranta	0.09719281201104654	Dallas Stars
422 Luke Glendening	0.09696539413857445	Dallas Stars
423 Austin Watson	0.09531435784223025	Ottawa Senators
424 Colin Blackwell	0.0919147473955229	Chicago Blackhawks
425 Dryden Hunt	0.08891571785418138	Colorado Avalanche
426 Pierre-Edouard Bellemare	0.08799322972542549	Tampa Bay Lightning
427 Dylan Gambrell	0.08447806679755925	Ottawa Senators
428 Simon Holmstrom	0.08182643161040444	New York Islanders
429 Curtis Lazar	0.08130449417107002	Vancouver Canucks
430 Derek Stepan	0.0812218038123251	Carolina Hurricanes
431 Parker Kelly	0.07862784049595245	Ottawa Senators
432 Michael Pezzetta	0.07675155587576639	Montréal Canadiens
433 Axel Jonsson-Fjallby	0.0742552674815814	Winnipeg Jets
434 Barrett Hayton	0.07325480150888117	Arizona Coyotes
435 Rem Pitlick	0.07295575796623102	Montréal Canadiens
436 Zack Kassian	0.07270293813655439	Arizona Coyotes
437 Joel Armia	0.0697813805545156	Montréal Canadiens
438 Alexey Toropchenko	0.0626750625766581	St. Louis Blues
439 Nathan Walker	0.06256166338501158	St. Louis Blues
440 Noah Gregor	0.06184737375233363	San Jose Sharks
441 Jayson Megna	0.034373223661477895	Anaheim Ducks
442 Matthew Phillips	0.034373223661477895	Calgary Flames
443 Radim Zohorna	0.034373223661477895	Calgary Flames
444 Ondrej Kase	0.034373223661477895	Carolina Hurricanes
445 Sampo Ranta	0.034373223661477895	Colorado Avalanche
446 Charles Hudon	0.034373223661477895	Colorado Avalanche
447 Jean-Luc Foudy	0.034373223661477895	Colorado Avalanche
448 Carson Meyer	0.034373223661477895	Columbus Blue Jackets
449 Filip Zadina	0.034373223661477895	Detroit Red Wings
450 Brad Malone	0.034373223661477895	Edmonton Oilers
451 James Hamblin	0.034373223661477895	Edmonton Oilers
452 Samuel Walker	0.034373223661477895	Minnesota Wild
453 Andreas Johnsson	0.034373223661477895	New Jersey Devils
454 Jonny Brodzinski	0.034373223661477895	New York Rangers
455 Rourke Chartier	0.034373223661477895	Ottawa Senators
456 Jacob Lucchini	0.034373223661477895	Ottawa Senators
457 Max Willman	0.034373223661477895	Philadelphia Flyers
458 Olle Lycksell	0.034373223661477895	Philadelphia Flyers
459 Drew O'Connor	0.034373223661477895	Pittsburgh Penguins
460 CJ Suess	0.034373223661477895	San Jose Sharks
461 Logan Brown	0.034373223661477895	St. Louis Blues
462 Jake Leschyshyn	0.034373223661477895	Vegas Golden Knights
463 Connor Brown	0.034373223661477895	Washington Capitals
