Forward	Utilization Rating	Team
315 Josh Archibald	0.3494011802422163	Pittsburgh Penguins
316 Juraj Slafkovsky	0.34298475786484617	Montréal Canadiens
317 Derick Brassard	0.34166951882688795	Ottawa Senators
318 Mason Shaw	0.3409056724295835	Minnesota Wild
319 David Gustafsson	0.3389888689431398	Winnipeg Jets
320 Milan Lucic	0.3380022769504689	Calgary Flames
321 Dakota Joshua	0.32984272992930563	Vancouver Canucks
322 Peyton Krebs	0.3296761041771009	Buffalo Sabres
323 Austin Watson	0.32872930359241864	Ottawa Senators
324 Brett Leason	0.32856294183862994	Anaheim Ducks
325 Mike Hoffman	0.32183876511054726	Montréal Canadiens
326 Ryan Donato	0.32039466588813725	Seattle Kraken
327 Dylan Guenther	0.3197294550320544	Arizona Coyotes
328 Mathieu Olivier	0.31895306094936965	Columbus Blue Jackets
329 Morgan Barron	0.3186563759961877	Winnipeg Jets
330 Axel Jonsson-Fjallby	0.3151796204463211	Winnipeg Jets
331 Nathan Bastian	0.31357720489394453	New Jersey Devils
332 Josh Leivo	0.30876288065737	St. Louis Blues
333 Joel Armia	0.3029788212963409	Montréal Canadiens
334 Brett Howden	0.2919709600197638	Vegas Golden Knights
335 Max Comtois	0.2895526490779583	Anaheim Ducks
336 Sammy Blais	0.2881874360920633	New York Rangers
337 Adam Ruzicka	0.2848704707776009	Calgary Flames
338 Evander Kane	0.282310864977166	Edmonton Oilers
339 Evgeny Svechnikov	0.2666213879962944	San Jose Sharks
340 Kasperi Kapanen	0.26528324536406256	Pittsburgh Penguins
341 Jesper Boqvist	0.263682440460843	New Jersey Devils
342 Rasmus Asplund	0.2556163232455928	Buffalo Sabres
343 Mason Appleton	0.2543951731690276	Winnipeg Jets
344 Warren Foegele	0.2538617357874135	Edmonton Oilers
345 Curtis Lazar	0.2495278547413489	Vancouver Canucks
346 Paul Cotter	0.24828868268277615	Vegas Golden Knights
347 Parker Kelly	0.24555029427371	Ottawa Senators
348 Derek Stepan	0.24372457743996134	Carolina Hurricanes
349 Mattias Janmark	0.24269357546200182	Edmonton Oilers
350 Denis Malgin	0.24219978822182578	Toronto Maple Leafs
351 Dryden Hunt	0.24145371558690384	Colorado Avalanche
352 Morgan Geekie	0.2393311062289863	Seattle Kraken
353 Sonny Milano	0.23849899978450148	Washington Capitals
354 Daniel Sprong	0.23593681743144915	Seattle Kraken
355 Mark Kastelic	0.23041823659516736	Ottawa Senators
356 Juuso Parssinen	0.22985701589420696	Nashville Predators
357 Reese Johnson	0.22338595960188332	Chicago Blackhawks
358 Nick Schmaltz	0.22006225661308476	Arizona Coyotes
359 Brett Ritchie	0.21784202325649557	Calgary Flames
360 Valeri Nichushkin	0.21465912445666063	Colorado Avalanche
361 Dylan Holloway	0.207873941659194	Edmonton Oilers
362 Devin Shore	0.20565468651826593	Edmonton Oilers
363 Cody Glass	0.20302692733463865	Nashville Predators
364 Mark Jankowski	0.2023039540024273	Nashville Predators
365 Ryan Reaves	0.20066440468300403	Minnesota Wild
366 A.J. Greer	0.19802427426383762	Boston Bruins
367 Vasily Podkolzin	0.19025997748242537	Vancouver Canucks
368 Derek Grant	0.1841122453589919	Anaheim Ducks
369 Teddy Blueger	0.18174357140418404	Pittsburgh Penguins
370 Julien Gauthier	0.17730949457760725	New York Rangers
371 Martin Kaut	0.17695663388574373	Colorado Avalanche
372 Vinnie Hinostroza	0.17039556562169728	Buffalo Sabres
373 Patric Hornqvist	0.1702784712254379	Florida Panthers
374 Jakub Voracek	0.16858006601938844	Columbus Blue Jackets
375 Tyler Pitlick	0.1681739412794799	St. Louis Blues
376 Jonathan Drouin	0.1663863935676123	Montréal Canadiens
377 Tanner Pearson	0.16532447724861773	Vancouver Canucks
378 Tanner Laczynski	0.15927489563303937	Philadelphia Flyers
379 Jordan Greenway	0.1550547875658538	Minnesota Wild
380 Elmer Soderblom	0.15210242840128385	Detroit Red Wings
381 Nathan Walker	0.15176475851475657	St. Louis Blues
382 Alexey Toropchenko	0.15053423893465062	St. Louis Blues
383 Rudolfs Balcers	0.146982827137685	Tampa Bay Lightning
384 Eeli Tolvanen	0.146285545163196	Seattle Kraken
385 Jack Drury	0.14579752368803084	Carolina Hurricanes
386 Sheldon Dries	0.1455363447543779	Vancouver Canucks
387 James van Riemsdyk	0.14436463552342907	Philadelphia Flyers
388 Liam Foudy	0.138562819049968	Columbus Blue Jackets
389 Michael Eyssimont	0.137630181745127	Winnipeg Jets
390 Wade Allison	0.13685040250832495	Philadelphia Flyers
391 Rasmus Kupari	0.13577969208563204	Los Angeles Kings
392 Noah Gregor	0.13427377649338615	San Jose Sharks
393 Jaret Anderson-Dolan	0.1330921087744926	Los Angeles Kings
394 Michael McCarron	0.1320741250132409	Nashville Predators
395 Michael Amadio	0.13110844808115435	Vegas Golden Knights
396 Craig Smith	0.12941584888197555	Boston Bruins
397 Karson Kuhlman	0.1277938537156614	Winnipeg Jets
398 Nicholas Robertson	0.12524258434221083	Toronto Maple Leafs
399 Jansen Harkins	0.12318237540118675	Winnipeg Jets
400 Sam Carrick	0.123090901166651	Anaheim Ducks
401 Pontus Holmberg	0.12108962947304161	Toronto Maple Leafs
402 Patrick Brown	0.11982921419659315	Philadelphia Flyers
403 Alex Iafallo	0.11945828286938442	Los Angeles Kings
404 Boris Katchouk	0.11614770711037506	Chicago Blackhawks
405 Ryan Hartman	0.11609381207135672	Minnesota Wild
406 Zack Kassian	0.11556043813981134	Arizona Coyotes
407 Tyler Bertuzzi	0.11453253587324908	Detroit Red Wings
408 Jack Studnicka	0.10981449353935098	Vancouver Canucks
409 Brandon Duhaime	0.10850350236273923	Minnesota Wild
410 Rem Pitlick	0.10800089341412056	Montréal Canadiens
411 Jayson Megna	0.10702488867868695	Anaheim Ducks
412 Klim Kostin	0.10615150724354987	Edmonton Oilers
413 Filip Zadina	0.10149766273420403	Detroit Red Wings
414 Tyler Johnson	0.10063199116344938	Chicago Blackhawks
415 Austin Czarnik	0.09892194402297286	Detroit Red Wings
416 Brendan Lemieux	0.09807581802581798	Los Angeles Kings
417 Michael Pezzetta	0.09727380013372813	Montréal Canadiens
418 Dylan Gambrell	0.09722123234837901	Ottawa Senators
419 Alexander Holtz	0.0965173259903344	New Jersey Devils
420 Ondrej Palat	0.09478155794966833	New Jersey Devils
421 Jonah Gadjovich	0.09450464182727335	San Jose Sharks
422 Jake Leschyshyn	0.09405376833105655	Vegas Golden Knights
423 Simon Holmstrom	0.08923854157397942	New York Islanders
424 Josh Norris	0.08896538717922879	Ottawa Senators
425 Vitali Kravtsov	0.08541486535514642	New York Rangers
426 Anthony Cirelli	0.08331465618899093	Tampa Bay Lightning
427 Justin Danforth	0.08188990682409554	Columbus Blue Jackets
428 Nicolas Aube-Kubel	0.08174917124739514	Washington Capitals
429 Kirill Marchenko	0.07636710711963551	Columbus Blue Jackets
430 Brad Malone	0.07614372479735262	Edmonton Oilers
431 Ben Meyers	0.07581612631266865	Colorado Avalanche
432 Jean-Luc Foudy	0.0756726273597795	Colorado Avalanche
433 Connor Brown	0.07459030376469508	Washington Capitals
434 Charles Hudon	0.07099073727451558	Colorado Avalanche
435 Max Willman	0.06850613776247576	Philadelphia Flyers
436 James Hamblin	0.0658644894033758	Edmonton Oilers
437 Aleksi Heponiemi	0.06505501496848665	Florida Panthers
438 Zac Dalpe	0.06399144822347631	Florida Panthers
439 Matt Luff	0.062157809239551935	Detroit Red Wings
440 Nikolaj Ehlers	0.061308080192928216	Winnipeg Jets
441 Joe Snively	0.06100956602252611	Washington Capitals
442 Logan Brown	0.060302053688997534	St. Louis Blues
443 Wayne Simmonds	0.059337213725585584	Toronto Maple Leafs
444 Jonny Brodzinski	0.059226879992426935	New York Rangers
445 Hudson Fasching	0.05841700964716903	New York Islanders
446 Ross Johnston	0.05706661934065884	New York Islanders
447 Chris Tierney	0.05696058202821717	Florida Panthers
448 Radim Zohorna	0.05684214615835151	Calgary Flames
449 Sampo Ranta	0.05603078522016747	Colorado Avalanche
450 Drew O'Connor	0.0558898010829639	Pittsburgh Penguins
451 Kevin Stenlund	0.05512692661524306	Winnipeg Jets
452 Carson Meyer	0.05506881429651653	Columbus Blue Jackets
453 Joey Anderson	0.05501620283518431	Toronto Maple Leafs
454 Matthew Phillips	0.054722570715479854	Calgary Flames
455 Rourke Chartier	0.05385918248665157	Ottawa Senators
456 William Bitten	0.05311762442484075	St. Louis Blues
457 Samuel Walker	0.052883468095452364	Minnesota Wild
458 Samuel Fagemo	0.05230655456047856	Los Angeles Kings
459 Ondrej Kase	0.051381788976405565	Carolina Hurricanes
460 Olle Lycksell	0.051311445816718766	Philadelphia Flyers
461 Jacob Lucchini	0.05058530292104563	Ottawa Senators
462 Andreas Johnsson	0.049102564329007614	New Jersey Devils
463 CJ Suess	0.049069905613708616	San Jose Sharks
