Forward	Penalty Kill Utilization Base	Team
287 Nathan MacKinnon	0.014457107843137253	Colorado Avalanche
288 Jack Hughes	0.013155555555555561	New Jersey Devils
289 Owen Tippett	0.013008072916666674	Philadelphia Flyers
290 Pierre-Luc Dubois	0.012603333333333334	Winnipeg Jets
291 Justin Danforth	0.012017647058823529	Columbus Blue Jackets
292 Noah Gregor	0.011237121212121207	San Jose Sharks
293 Quinton Byfield	0.011217424242424244	Los Angeles Kings
294 Sidney Crosby	0.010502469135802465	Pittsburgh Penguins
295 Paul Stastny	0.010477419354838712	Carolina Hurricanes
296 Alex Newhook	0.010367647058823528	Colorado Avalanche
297 Joona Koppanen	0.008924603174603175	Boston Bruins
298 Alexis Lafrenière	0.008883000000000004	New York Rangers
299 Alex DeBrincat	0.008567741935483873	Ottawa Senators
300 Brett Leason	0.008471014492753623	Anaheim Ducks
301 Brady Tkachuk	0.008412903225806454	Ottawa Senators
302 Auston Matthews	0.008035483870967745	Toronto Maple Leafs
303 Kyle Palmieri	0.007863194444444447	New York Islanders
304 Jake Guentzel	0.007597530864197528	Pittsburgh Penguins
305 Mason McTavish	0.007557971014492754	Anaheim Ducks
306 Ryan Donato	0.007554878048780489	Seattle Kraken
307 Jesper Bratt	0.007288888888888892	New Jersey Devils
308 Chris Tierney	0.007227037037037037	Florida Panthers
309 Mikko Rantanen	0.007199754901960784	Colorado Avalanche
310 Nicolas Aube-Kubel	0.007176000000000003	Washington Capitals
311 Byron Froese	0.006929999999999999	Vegas Golden Knights
312 Miles Wood	0.00663703703703704	New Jersey Devils
313 Lucas Raymond	0.00654479166666667	Detroit Red Wings
314 Jeff Skinner	0.006524999999999998	Buffalo Sabres
315 Alex Ovechkin	0.006317333333333336	Washington Capitals
316 T.J. Oshie	0.006133333333333335	Washington Capitals
317 Jesse Ylonen	0.0060568181818181814	Montréal Canadiens
318 David Pastrnak	0.005984126984126985	Boston Bruins
319 Tyler Pitlick	0.005839080459770114	St. Louis Blues
320 Rudolfs Balcers	0.005435344827586205	Tampa Bay Lightning
321 Vladimir Tarasenko	0.005036206896551724	St. Louis Blues
322 Viktor Arvidsson	0.005025	Los Angeles Kings
323 Brayden Point	0.0049310344827586195	Tampa Bay Lightning
324 Zack MacEwen	0.004792447916666669	Philadelphia Flyers
325 Jonathan Gruden	0.004748456790123455	Pittsburgh Penguins
326 Drake Batherson	0.004748387096774194	Ottawa Senators
327 Andrei Svechnikov	0.004335483870967743	Carolina Hurricanes
328 Carter Verhaeghe	0.00429962962962963	Florida Panthers
329 Tyler Johnson	0.004138235294117647	Chicago Blackhawks
330 Conor Garland	0.003978333333333334	Vancouver Canucks
331 Kirill Kaprizov	0.0039731770833333355	Minnesota Wild
332 Matt Martin	0.0039315972222222235	New York Islanders
333 Artemi Panarin	0.0037800000000000017	New York Rangers
334 Phil Kessel	0.0037099999999999993	Vegas Golden Knights
335 Mike Hoffman	0.003545454545454545	Montréal Canadiens
336 Filip Forsberg	0.0034515151515151503	Nashville Predators
337 Jake Neighbours	0.0034304597701149426	St. Louis Blues
338 Colin White	0.0033848148148148153	Florida Panthers
339 Kevin Fiala	0.0033500000000000005	Los Angeles Kings
340 Tanner Laczynski	0.003236458333333335	Philadelphia Flyers
341 Max Domi	0.00315	Chicago Blackhawks
342 Victor Olofsson	0.003141666666666666	Buffalo Sabres
343 Jordan Kyrou	0.003138505747126437	St. Louis Blues
344 Evgeni Malkin	0.0030725308641975295	Pittsburgh Penguins
345 Jordan Eberle	0.0029380081300813014	Seattle Kraken
346 Gabriel Vilardi	0.002893181818181818	Los Angeles Kings
347 Dylan Guenther	0.002853804347826087	Arizona Coyotes
348 Trevor Zegras	0.002840579710144928	Anaheim Ducks
349 Ryan Johansen	0.002791666666666666	Nashville Predators
350 Juuso Parssinen	0.0027409090909090903	Nashville Predators
351 Zack Kassian	0.0027086956521739135	Arizona Coyotes
352 Mathew Barzal	0.0026406250000000006	New York Islanders
353 Nick Cousins	0.002561481481481482	Florida Panthers
354 Sam Gagner	0.0025333333333333336	Winnipeg Jets
355 Fabian Zetterlund	0.0024296296296296305	New Jersey Devils
356 Filip Chytil	0.0023940000000000007	New York Rangers
357 Mason Marchment	0.0023333333333333322	Dallas Stars
358 Seth Jarvis	0.002322580645161291	Carolina Hurricanes
359 Nicklas Backstrom	0.002269333333333334	Washington Capitals
360 Alexander Barabanov	0.0022227272727272716	San Jose Sharks
361 Ondrej Kase	0.002116129032258065	Carolina Hurricanes
362 Dylan Strome	0.002085333333333334	Washington Capitals
363 Vasily Podkolzin	0.002083888888888889	Vancouver Canucks
364 Dominik Kubalik	0.0020333333333333345	Detroit Red Wings
365 Matt Duchene	0.001979545454545454	Nashville Predators
366 John Tavares	0.0019376344086021514	Toronto Maple Leafs
367 Andrei Kuzmenko	0.0018944444444444445	Vancouver Canucks
368 Johnny Gaudreau	0.0018916666666666665	Columbus Blue Jackets
369 Brendan Lemieux	0.0018272727272727273	Los Angeles Kings
370 Carson Meyer	0.0017247549019607843	Columbus Blue Jackets
371 Filip Zadina	0.001715625000000001	Detroit Red Wings
372 Sheldon Dries	0.0016418518518518518	Vancouver Canucks
373 Adam Ruzicka	0.0016405172413793097	Calgary Flames
374 Patrick Kane	0.0016058823529411766	Chicago Blackhawks
375 Nick Ritchie	0.0015961956521739133	Arizona Coyotes
376 Ben Meyers	0.0015551470588235292	Colorado Avalanche
377 Taylor Hall	0.0014444444444444446	Boston Bruins
378 Nicholas Robertson	0.0014247311827956996	Toronto Maple Leafs
379 Anthony Mantha	0.0014106666666666673	Washington Capitals
380 Brock Boeser	0.001262962962962963	Vancouver Canucks
381 Cole Caufield	0.0011818181818181819	Montréal Canadiens
382 Milan Lucic	0.0011433908045977007	Calgary Flames
383 Rickard Rakell	0.0010614197530864193	Pittsburgh Penguins
384 Kent Johnson	0.001001470588235294	Columbus Blue Jackets
385 Anders Lee	0.0009388888888888891	New York Islanders
386 A.J. Greer	0.0009285714285714287	Boston Bruins
387 Patrik Laine	0.0008901960784313725	Columbus Blue Jackets
388 Jason Robertson	0.0008814814814814811	Dallas Stars
389 Corey Perry	0.0008405172413793101	Tampa Bay Lightning
390 Jonathan Drouin	0.0008371212121212121	Montréal Canadiens
391 Dylan Holloway	0.0008302325581395349	Edmonton Oilers
392 Tyler Bertuzzi	0.0008260416666666671	Detroit Red Wings
393 Stefan Noesen	0.0008258064516129034	Carolina Hurricanes
394 Paul Cotter	0.0007699999999999999	Vegas Golden Knights
395 Brendan Gallagher	0.0006893939393939394	Montréal Canadiens
396 Nikita Kucherov	0.0006724137931034481	Tampa Bay Lightning
397 Nino Niederreiter	0.0006598484848484847	Nashville Predators
398 Denis Gurianov	0.0005703703703703701	Dallas Stars
