Forward	Plus_Minus Corrected	Team
256 T.J. Oshie	0.40627885280170994	Washington Capitals
257 Pavel Dorofeyev	0.40479887853226093	Vegas Golden Knights
258 Sammy Blais	0.40405953818321716	New York Rangers
259 Viktor Arvidsson	0.40184414147011877	Los Angeles Kings
260 Rasmus Asplund	0.400369428110071	Buffalo Sabres
261 Simon Holmstrom	0.400369428110071	New York Islanders
262 Zemgus Girgensons	0.3944888466169729	Buffalo Sabres
263 Kevin Labanc	0.39155985744168254	San Jose Sharks
264 Lucas Raymond	0.3915598574416825	Detroit Red Wings
265 Jesse Ylonen	0.38936821677476763	Montréal Canadiens
266 Jean-Gabriel Pageau	0.3886386572920641	New York Islanders
267 Vincent Trocheck	0.3857254344347571	New York Rangers
268 Brett Ritchie	0.3828203749103726	Calgary Flames
269 Derick Brassard	0.3828203749103726	Ottawa Senators
270 Tanner Laczynski	0.3828203749103726	Philadelphia Flyers
271 Jack Roslovic	0.3813709639166238	Columbus Blue Jackets
272 Connor Dewar	0.3806470480913251	Minnesota Wild
273 Ondrej Kase	0.3755946409947118	Carolina Hurricanes
274 A.J. Greer	0.37415600247315717	Boston Bruins
275 Filip Zadina	0.3720022161678636	Detroit Red Wings
276 Andre Burakovsky	0.3712854107160566	Seattle Kraken
277 Bobby McMann	0.3712854107160566	Toronto Maple Leafs
278 Kirill Marchenko	0.3705691714458829	Columbus Blue Jackets
279 Brandon Saad	0.36842387767292506	St. Louis Blues
280 Tyler Bertuzzi	0.3655715751877333	Detroit Red Wings
281 Derek Ryan	0.3655715751877333	Edmonton Oilers
282 Bryan Rust	0.36343850784691845	Pittsburgh Penguins
283 Nazem Kadri	0.361310798519672	Calgary Flames
284 Alexey Toropchenko	0.35707173191738806	St. Louis Blues
285 Alex Belzile	0.35636737017755393	Montréal Canadiens
286 Vasily Podkolzin	0.35566362924341616	Vancouver Canucks
287 Chris Tierney	0.3521543234655898	Florida Panthers
288 Nathan Walker	0.3514543593056137	St. Louis Blues
289 Paul Cotter	0.3493583046222904	Vegas Golden Knights
290 Justin Danforth	0.3479641570466173	Columbus Blue Jackets
291 Nick Cousins	0.3472680570824633	Florida Panthers
292 Dylan Holloway	0.3458778166290282	Edmonton Oilers
293 Rourke Chartier	0.3458778166290282	Ottawa Senators
294 Noah Gregor	0.34518368083901957	San Jose Sharks
295 Arthur Kaliyev	0.3444902044553181	Los Angeles Kings
296 Blake Lizotte	0.3437973898010066	Los Angeles Kings
297 Tyler Pitlick	0.3424137549195644	St. Louis Blues
298 David Gustafsson	0.33965452693918147	Winnipeg Jets
299 Christian Fischer	0.33759221375035064	Arizona Coyotes
300 Christian Dvorak	0.33759221375035064	Montréal Canadiens
301 Quinton Byfield	0.3334861244157273	Los Angeles Kings
302 Evgeny Svechnikov	0.3300835423657502	San Jose Sharks
303 Nino Niederreiter	0.323331736002108	Nashville Predators
304 Rem Pitlick	0.32199005086929494	Montréal Canadiens
305 Jesper Boqvist	0.32199005086929494	New Jersey Devils
306 Kasperi Kapanen	0.32199005086929494	Pittsburgh Penguins
307 Tom Wilson	0.32132030577288456	Washington Capitals
308 Sam Gagner	0.3140019914957531	Winnipeg Jets
309 Aatu Raty	0.31070553472627815	New York Islanders
310 Morgan Frost	0.3100485280700694	Philadelphia Flyers
311 Anthony Mantha	0.3093922871119116	Washington Capitals
312 Byron Froese	0.30808210927172486	Vegas Golden Knights
313 Walker Duehr	0.3054710181361863	Calgary Flames
314 Rudolfs Balcers	0.3002862704562344	Tampa Bay Lightning
315 Isac Lundestrom	0.2957910992780902	Anaheim Ducks
316 Michael Rasmussen	0.2957910992780902	Detroit Red Wings
317 Denis Malgin	0.29196933456180785	Colorado Avalanche
318 Jakub Voracek	0.29070188041942	Columbus Blue Jackets
319 Givani Smith	0.28817674197847176	Florida Panthers
320 Joona Koppanen	0.2856647039191285	Boston Bruins
321 Emil Bemstrom	0.28503875150179553	Columbus Blue Jackets
322 Charles Hudon	0.28378932445272664	Colorado Avalanche
323 Oskar Sundqvist	0.28378932445272664	Detroit Red Wings
324 Tyson Jost	0.28192139778285313	Buffalo Sabres
325 Fredrik Olofsson	0.2813004177059157	Dallas Stars
326 Tim Stützle	0.280060958295093	Ottawa Senators
327 Axel Jonsson-Fjallby	0.279442481429868	Winnipeg Jets
328 Denis Gurianov	0.27759207677220166	Dallas Stars
329 Teddy Blueger	0.27759207677220166	Pittsburgh Penguins
330 Sam Reinhart	0.2751366420610381	Florida Panthers
331 John Hayden	0.27208637071870834	Seattle Kraken
332 Logan Brown	0.2672502213986398	St. Louis Blues
333 Jujhar Khaira	0.26545080886290506	Chicago Blackhawks
334 Brendan Gallagher	0.2624690363852056	Montréal Canadiens
335 Rasmus Kupari	0.26009920881955395	Los Angeles Kings
336 Josh Anderson	0.2595089247073646	Montréal Canadiens
337 Evgenii Dadonov	0.2595089247073645	Montréal Canadiens
338 Vladislav Namestnikov	0.2583309698446498	Tampa Bay Lightning
339 Gustav Nyquist	0.2577433007731341	Columbus Blue Jackets
340 Cole Caufield	0.2571565050430406	Montréal Canadiens
341 Joel Armia	0.25715650504304055	Montréal Canadiens
342 Samuel Fagemo	0.24903350155725537	Los Angeles Kings
343 Derek Grant	0.24845989756005568	Anaheim Ducks
344 Michael Amadio	0.24845989756005568	Vegas Golden Knights
345 Milan Lucic	0.24446948720539005	Calgary Flames
346 Sam Lafferty	0.24333736539707967	Chicago Blackhawks
347 Jaden Schwartz	0.2416458628924348	Seattle Kraken
348 Carson Meyer	0.24108381229342668	Columbus Blue Jackets
349 Kent Johnson	0.23773027221752702	Columbus Blue Jackets
350 Patrick Brown	0.237174480672992	Philadelphia Flyers
351 Dominik Kubalik	0.23661958516866227	Detroit Red Wings
352 Matt Luff	0.23606558614715964	Detroit Red Wings
353 Pierre-Edouard Bellemare	0.2349602792738388	Tampa Bay Lightning
354 Sampo Ranta	0.23330905308488314	Colorado Avalanche
355 Max Domi	0.23221272963133668	Chicago Blackhawks
356 Yegor Chinakhov	0.2305749928454321	Columbus Blue Jackets
357 Ross Johnston	0.2305749928454321	New York Islanders
358 Pat Maroon	0.2305749928454321	Tampa Bay Lightning
359 Wayne Simmonds	0.22948767127791478	Toronto Maple Leafs
360 Dylan Guenther	0.22678514616501558	Arizona Coyotes
361 Martin Kaut	0.22678514616501558	Colorado Avalanche
362 Adam Erne	0.22517446227272914	Detroit Red Wings
363 Jean-Luc Foudy	0.22303953426997486	Colorado Avalanche
364 Timo Meier	0.22303953426997478	San Jose Sharks
365 Pius Suter	0.22250806277320673	Detroit Red Wings
366 Boone Jenner	0.22197749588114282	Columbus Blue Jackets
367 Ross Colton	0.22197749588114274	Tampa Bay Lightning
368 Jakob Pelletier	0.21724312866626544	Calgary Flames
369 Drew O'Connor	0.2130964078725774	Pittsburgh Penguins
370 Julien Gauthier	0.2064817273860755	New York Rangers
371 Ryan Reaves	0.20497701639946087	Minnesota Wild
372 Luke Kunin	0.20447725811604775	San Jose Sharks
373 Jake Evans	0.20248728225348323	Montréal Canadiens
374 Curtis Lazar	0.2014977268495651	Vancouver Canucks
375 Zach Aston-Reese	0.19563636469369133	Toronto Maple Leafs
376 Troy Terry	0.18849234904138853	Anaheim Ducks
377 Dylan Gambrell	0.18755510249491394	Ottawa Senators
378 Ben Meyers	0.1861559602998169	Colorado Avalanche
379 Brady Tkachuk	0.18018604647726635	Ottawa Senators
380 Boris Katchouk	0.17973306692808885	Chicago Blackhawks
381 Kieffer Bellows	0.1783794647217196	Philadelphia Flyers
382 Darren Helm	0.17748150525153908	Colorado Avalanche
383 Victor Olofsson	0.17525212319967032	Buffalo Sabres
